AbertsTowhee                                 LarkBuntingBreedingmale
AcornWoodpecker                              LarkBuntingFemaleNonbreedingmale
AllensHummingbirdAdultMale                   LarkSparrow
AllensHummingbirdFemaleimmature              LaughingGullBreeding
AmericanAvocet                               LaughingGullNonbreedingImmature
AmericanBlackDuck                            LeastFlycatcher
AmericanCoot                                 LeastSandpiper
AmericanCrow                                 LesserGoldfinchAdultMale
AmericanDipper                               LesserGoldfinchFemalejuvenile
AmericanGoldfinchFemaleNonbreedingMale       LesserScaupBreedingmale
AmericanKestrelAdultmale                     LesserScaupFemaleEclipsemale
AmericanKestrelFemaleimmature                LesserYellowlegs
AmericanOystercatcher                        LincolnsSparrow
AmericanRedstartAdultMale                    LittleBlueHeronAdult
AmericanRobinAdult                           LittleBlueHeronImmature
AmericanRobinJuvenile                        Long-billedCurlew
AmericanWigeonBreedingmale                   Long-tailedDuckFemalejuvenile
AmericanWigeonFemaleEclipsemale              Long-tailedDuckSummermale
AmericanWoodcock                             Long-tailedDuckWintermale
Anhinga                                      LouisianaWaterthrush
Ash-throatedFlycatcher                       MacGillivraysWarbler
BaldEagleAdultsubadult                       MagnoliaWarblerBreedingmale
BaldEagleImmaturejuvenile                    MallardBreedingmale
BaltimoreOrioleFemaleImmaturemale            MallardFemaleEclipsemale
Band-tailedPigeon                            MarbledGodwit
BankSwallow                                  Merlin
BarnOwl                                      MewGull
BarnSwallow                                  MexicanJay
BarredOwl                                    MississippiKite
BarrowsGoldeneyeBreedingmale                 MonkParakeet
BarrowsGoldeneyeFemaleEclipsemale            MottledDuck
Bay-breastedWarblerBreedingmale              MountainBluebird
BellsVireo                                   MountainChickadee
Black-belliedPloverBreeding                  MourningDove
Black-belliedPloverNonbreedingjuvenile       MourningWarbler
Black-belliedWhistling-Duck                  MuteSwan
Black-billedMagpie                           NashvilleWarbler
Black-cappedChickadee                        NeotropicCormorant
Black-chinnedHummingbirdAdultMale            NorthernBobwhite
Black-chinnedHummingbirdFemaleimmature       NorthernCardinalAdultMale
Black-crestedTitmouse                        NorthernGannetAdultSubadult
