AbertsTowhee                                      HornedGrebeBreeding
AcornWoodpecker                                   HornedGrebeNonbreedingjuvenile
AllensHummingbirdAdultMale                        HornedLark
AllensHummingbirdFemaleimmature                   HouseFinchAdultMale
AmericanCoot                                      HouseSparrowFemaleJuvenile
AmericanDipper                                    HouseSparrowMale
AmericanGoldfinchBreedingMale                     HouseWren
AmericanGoldfinchFemaleNonbreedingMale            HuttonsVireo
AmericanKestrelAdultmale                          IndigoBuntingAdultMale
AmericanKestrelFemaleimmature                     IndigoBuntingFemalejuvenile
AmericanOystercatcher                             Killdeer
AmericanPipit                                     LarkBuntingFemaleNonbreedingmale
AmericanRedstartAdultMale                         LarkSparrow
AmericanRedstartFemalejuvenile                    LaughingGullNonbreedingImmature
AmericanRobinAdult                                LazuliBuntingAdultMale
AmericanRobinJuvenile                             LazuliBuntingFemalejuvenile
AmericanTreeSparrow                               LeastFlycatcher
AmericanWhitePelican                              LeastSandpiper
AmericanWoodcock                                  LesserGoldfinchAdultMale
AnnasHummingbirdAdultMale                         LincolnsSparrow
AnnasHummingbirdFemaleimmature                    LittleBlueHeronAdult
Ash-throatedFlycatcher                            LittleBlueHeronImmature
BaltimoreOrioleAdultmale                          LoggerheadShrike
BaltimoreOrioleFemaleImmaturemale                 Long-billedCurlew
Band-tailedPigeon                                 Long-tailedDuckWintermale
BankSwallow                                       LouisianaWaterthrush
BarnOwl                                           MacGillivraysWarbler
BarnSwallow                                       MagnoliaWarblerBreedingmale
BarredOwl                                         MagnoliaWarblerFemaleimmaturemale
BarrowsGoldeneyeFemaleEclipsemale                 MallardBreedingmale
Bay-breastedWarblerBreedingmale                   MallardFemaleEclipsemale
Bay-breastedWarblerFemaleNonbreedingmaleImmature  MarbledGodwit
BellsVireo                                        MarshWren
BeltedKingfisher                                  Merlin
BewicksWren                                       MexicanJay
Black-and-whiteWarbler                            MonkParakeet
Black-belliedPloverBreeding                       MountainBluebird
Black-belliedPloverNonbreedingjuvenile            MountainChickadee
Black-belliedWhistling-Duck                       MourningDove
Black-billedCuckoo                                MourningWarbler
Black-billedMagpie                                NashvilleWarbler
Black-chinnedHummingbirdAdultMale                 NeotropicCormorant
Black-chinnedHummingbirdFemaleimmature            NorthernCardinalAdultMale
Black-crestedTitmouse                             NorthernCardinalFemaleJuvenile
Black-crownedNight-HeronAdult                     NorthernFlickerRed-shafted
Black-headedGrosbeakAdultMale                     NorthernFlickerYellow-shafted
Black-leggedKittiwakeAdult                        NorthernGannetAdultSubadult
Black-neckedStilt                                 NorthernGannetImmatureJuvenile
Black-tailedGnatcatcher                           NorthernMockingbird
Black-throatedBlueWarblerAdultMale                NorthernParula
Black-throatedBlueWarblerFemaleImmaturemale       NorthernPintailFemaleEclipsemale
Black-throatedGrayWarbler                         NorthernPygmy-Owl
BlackGuillemotBreeding                            NorthernRough-wingedSwallow
BlackOystercatcher                                NorthernShovelerBreedingmale
BlackPhoebe                                       NorthernShovelerFemaleEclipsemale
BlackScoterFemalejuvenile                         NorthernShrike
BlackScoterMale                                   NorthernWaterthrush
BlackTern                                         NorthwesternCrow
BlackburnianWarbler                               OakTitmouse
BlackpollWarblerFemalejuvenile                    Orange-crownedWarbler
Blue-grayGnatcatcher                              OrchardOrioleAdultMale
Blue-headedVireo                                  OrchardOrioleFemaleJuvenile
Blue-wingedTealFemalejuvenile                     OrchardOrioleImmatureMale
Blue-wingedTealMale                               Osprey
Blue-wingedWarbler                                Ovenbird
BlueGrosbeakAdultMale                             Pacific-slopeFlycatcher
BlueGrosbeakFemalejuvenile                        PacificLoonBreeding
BlueJay                                           PacificLoonNonbreedingjuvenile
Boat-tailedGrackle                                PacificWren
BobolinkBreedingmale                              PaintedBuntingAdultMale
BobolinkFemalejuvenilenonbreedingmale             PaintedBuntingFemalejuvenile
BohemianWaxwing                                   PalmWarbler
BonapartesGull                                    PelagicCormorant
BrandtsCormorant                                  PeregrineFalconImmature
BrewersBlackbirdFemaleJuvenile                    PhainopeplaFemalejuvenile
BrewersBlackbirdMale                              PhainopeplaMale
BrewersSparrow                                    Pied-billedGrebe
BridledTitmouse                                   PigeonGuillemotBreeding
Broad-billedHummingbirdAdultMale                  PigeonGuillemotNonbreedingjuvenile
Broad-billedHummingbirdFemaleimmature             PileatedWoodpecker
Broad-tailedHummingbirdAdultMale                  PineGrosbeakAdultMale
Broad-tailedHummingbirdFemaleimmature             PineGrosbeakFemalejuvenile
Broad-wingedHawkImmature                          PineSiskin
BronzedCowbird                                    PineWarbler
Brown-headedCowbirdFemaleJuvenile                 PrairieWarbler
BrownCreeper                                      ProthonotaryWarbler
BrownPelican                                      PurpleFinchAdultMale
BrownThrasher                                     PurpleFinchFemaleimmature
BuffleheadBreedingmale                            PurpleGallinuleAdult
BuffleheadFemaleimmaturemale                      PurpleGallinuleImmature
BullocksOrioleAdultmale                           PurpleMartinAdultmale
BullocksOrioleFemaleImmaturemale                  Pyrrhuloxia
BurrowingOwl                                      Red-belliedWoodpecker
Bushtit                                           Red-breastedMerganserBreedingmale
CacklingGoose                                     Red-breastedMerganserFemaleimmaturemale
CactusWren                                        Red-breastedNuthatch
CaliforniaGullAdult                               Red-eyedVireo
CaliforniaGullImmature                            Red-headedWoodpeckerAdult
CaliforniaQuailFemalejuvenile                     Red-headedWoodpeckerImmature
CaliforniaQuailMale                               Red-napedSapsucker
