AbertsTowhee                                      HoodedWarbler
AcornWoodpecker                                   HornedGrebeBreeding
AllensHummingbirdFemaleimmature                   HornedGrebeNonbreedingjuvenile
AmericanAvocet                                    HornedLark
AmericanBlackDuck                                 HouseFinchAdultMale
AmericanCoot                                      HouseFinchFemaleimmature
AmericanCrow                                      HouseSparrowFemaleJuvenile
AmericanDipper                                    HouseSparrowMale
AmericanGoldfinchBreedingMale                     HouseWren
AmericanGoldfinchFemaleNonbreedingMale            HuttonsVireo
AmericanKestrelAdultmale                          IncaDove
AmericanKestrelFemaleimmature                     IndigoBuntingAdultMale
AmericanPipit                                     IndigoBuntingFemalejuvenile
AmericanRedstartAdultMale                         JuniperTitmouse
AmericanRedstartFemalejuvenile                    Ladder-backedWoodpecker
AmericanRobinJuvenile                             LarkBuntingBreedingmale
AmericanTreeSparrow                               LaughingGullBreeding
AmericanWhitePelican                              LaughingGullNonbreedingImmature
AmericanWigeonBreedingmale                        LazuliBuntingAdultMale
AmericanWigeonFemaleEclipsemale                   LazuliBuntingFemalejuvenile
AmericanWoodcock                                  LeastFlycatcher
Anhinga                                           LesserGoldfinchFemalejuvenile
AnnasHummingbirdAdultMale                         LesserScaupBreedingmale
AnnasHummingbirdFemaleimmature                    LesserScaupFemaleEclipsemale
BaldEagleAdultsubadult                            LesserYellowlegs
BaldEagleImmaturejuvenile                         LincolnsSparrow
BaltimoreOrioleAdultmale                          LittleBlueHeronAdult
BaltimoreOrioleFemaleImmaturemale                 LoggerheadShrike
BankSwallow                                       Long-tailedDuckFemalejuvenile
BarnSwallow                                       Long-tailedDuckSummermale
BarrowsGoldeneyeBreedingmale                      Long-tailedDuckWintermale
BarrowsGoldeneyeFemaleEclipsemale                 LouisianaWaterthrush
Bay-breastedWarblerBreedingmale                   MacGillivraysWarbler
Bay-breastedWarblerFemaleNonbreedingmaleImmature  MagnoliaWarblerBreedingmale
BellsVireo                                        MagnoliaWarblerFemaleimmaturemale
BeltedKingfisher                                  MallardBreedingmale
BewicksWren                                       MarbledGodwit
Black-and-whiteWarbler                            MarshWren
Black-belliedPloverBreeding                       MewGull
Black-belliedPloverNonbreedingjuvenile            MexicanJay
Black-billedCuckoo                                MississippiKite
Black-billedMagpie                                MottledDuck
Black-cappedChickadee                             MourningDove
Black-chinnedHummingbirdAdultMale                 MourningWarbler
Black-chinnedHummingbirdFemaleimmature            MuteSwan
Black-crownedNight-HeronAdult                     NashvilleWarbler
Black-crownedNight-HeronImmature                  NorthernBobwhite
Black-headedGrosbeakAdultMale                     NorthernCardinalAdultMale
Black-headedGrosbeakFemaleimmaturemale            NorthernCardinalFemaleJuvenile
Black-leggedKittiwakeAdult                        NorthernFlickerRed-shafted
Black-leggedKittiwakeImmature                     NorthernFlickerYellow-shafted
Black-neckedStilt                                 NorthernGannetAdultSubadult
Black-throatedBlueWarblerAdultMale                NorthernHarrierAdultmale
Black-throatedBlueWarblerFemaleImmaturemale       NorthernHarrierFemaleimmature
Black-throatedGrayWarbler                         NorthernMockingbird
Black-throatedGreenWarbler                        NorthernPintailBreedingmale
BlackGuillemotBreeding                            NorthernPygmy-Owl
BlackGuillemotNonbreedingjuvenile                 NorthernSaw-whetOwl
BlackOystercatcher                                NorthernShovelerFemaleEclipsemale
BlackRosy-Finch                                   NorthernShrike
BlackSkimmer                                      NuttallsWoodpecker
BlackTern                                         OakTitmouse
BlackTurnstone                                    Orange-crownedWarbler
BlackVulture                                      OrchardOrioleAdultMale
BlackburnianWarbler                               OrchardOrioleFemaleJuvenile
BlackpollWarblerBreedingmale                      OrchardOrioleImmatureMale
BlackpollWarblerFemalejuvenile                    Osprey
Blue-grayGnatcatcher                              Ovenbird
Blue-headedVireo                                  PacificLoonBreeding
Blue-wingedWarbler                                PacificLoonNonbreedingjuvenile
BlueGrosbeakAdultMale                             PacificWren
BlueGrosbeakFemalejuvenile                        PaintedBuntingAdultMale
BlueJay                                           PaintedBuntingFemalejuvenile
Boat-tailedGrackle                                PalmWarbler
BobolinkBreedingmale                              PelagicCormorant
BobolinkFemalejuvenilenonbreedingmale             PeregrineFalconAdult
BohemianWaxwing                                   PeregrineFalconImmature
BorealChickadee                                   PhainopeplaFemalejuvenile
BrandtsCormorant                                  Pied-billedGrebe
Brant                                             PigeonGuillemotBreeding
BrewersBlackbirdFemaleJuvenile                    PileatedWoodpecker
BrewersBlackbirdMale                              PineGrosbeakAdultMale
BrewersSparrow                                    PineGrosbeakFemalejuvenile
Broad-billedHummingbirdFemaleimmature             PineSiskin
Broad-tailedHummingbirdAdultMale                  PineWarbler
Broad-wingedHawkAdult                             PlumbeousVireo
Broad-wingedHawkImmature                          PrairieFalcon
BronzedCowbird                                    PrairieWarbler
Brown-cappedRosy-Finch                            ProthonotaryWarbler
Brown-headedCowbirdFemaleJuvenile                 PurpleFinchAdultMale
Brown-headedCowbirdMale                           PurpleFinchFemaleimmature
Brown-headedNuthatch                              PurpleGallinuleAdult
BrownCreeper                                      PurpleMartinAdultmale
BrownPelican                                      PurpleMartinFemalejuvenile
BrownThrasher                                     PygmyNuthatch
BuffleheadBreedingmale                            Pyrrhuloxia
BuffleheadFemaleimmaturemale                      Red-belliedWoodpecker
BullocksOrioleAdultmale                           Red-breastedMerganserFemaleimmaturemale
BullocksOrioleFemaleImmaturemale                  Red-breastedSapsucker
CacklingGoose                                     Red-eyedVireo
CactusWren                                        Red-headedWoodpeckerAdult
CaliforniaGullAdult                               Red-headedWoodpeckerImmature
CaliforniaGullImmature                            Red-neckedGrebeNonbreedingjuvenile
CaliforniaQuailFemalejuvenile                     Red-shoulderedHawkAdult
CaliforniaQuailMale                               Red-shoulderedHawkImmature
CaliforniaTowhee                                  Red-tailedHawkDarkmorph
CalliopeHummingbirdFemaleimmature                 Red-wingedBlackbirdFemalejuvenile
CanadaGoose                                       Red-wingedBlackbirdMale
CanadaWarbler                                     RedCrossbillFemalejuvenile
CanvasbackFemaleEclipsemale                       ReddishEgretDarkmorph
CapeMayWarbler                                    ReddishEgretWhitemorph
CarolinaWren                                      RedheadFemaleEclipsemale
CaspianTern                                       Ring-billedGullAdult
CassinsFinchAdultMale                             Ring-billedGullImmature
CassinsKingbird                                   Ring-neckedDuckBreedingmale
CassinsVireo                                      Ring-neckedDuckFemaleEclipsemale
CattleEgret                                       Ring-neckedPheasantFemalejuvenile
CedarWaxwing                                      Ring-neckedPheasantMale
Chestnut-sidedWarblerBreedingmale                 Rose-breastedGrosbeakAdultMale
ChihuahuanRaven                                   Rose-breastedGrosbeakFemaleimmaturemale
ChippingSparrowBreeding                           RoseateSpoonbill
ChippingSparrowImmaturenonbreedingadult           Rough-leggedHawkDarkmorph
CinnamonTealFemalejuvenile                        Rough-leggedHawkLightmorph
CinnamonTealMale                                  RoyalTern
ClarksGrebe                                       Ruby-crownedKinglet
ClarksNutcracker                                  Ruby-throatedHummingbirdAdultMale
Clay-coloredSparrow                               Ruby-throatedHummingbirdFemaleimmature
CliffSwallow                                      RuddyDuckBreedingmale
CommonEiderAdultmale                              RuddyTurnstone
CommonEiderImmatureEclipsemale                    RuffedGrouse
CommonGallinuleAdult                              Rufous-crownedSparrow
CommonGallinuleImmature                           RufousHummingbirdAdultMale
CommonGoldeneyeFemaleEclipsemale                  RufousHummingbirdFemaleimmature
CommonGrackle                                     RustyBlackbird
CommonGround-Dove                                 SavannahSparrow
CommonMerganserBreedingmale                       ScarletTanagerBreedingMale
CommonMerganserFemaleimmaturemale                 ScarletTanagerFemaleNonbreedingMale
CommonNighthawk                                   Scissor-tailedFlycatcher
CommonRaven                                       SemipalmatedPlover
CommonTern                                        SemipalmatedSandpiper
CommonYellowthroatAdultMale                       Sharp-shinnedHawkAdult
CommonYellowthroatFemaleimmaturemale              Short-billedDowitcher
CoopersHawkAdult                                  SnowBuntingBreedingadult
CoopersHawkImmature                               SnowBuntingNonbreeding
CostasHummingbirdAdultMale                        SnowGooseBluemorph
CostasHummingbirdFemaleimmature                   SnowGooseWhitemorph
CrestedCaracara                                   SolitarySandpiper
Curve-billedThrasher                              SongSparrow
Dark-eyedJuncoOregon                              SpottedSandpiperBreeding
Dark-eyedJuncoPink-sided                          SpottedSandpiperNonbreedingjuvenile
Dark-eyedJuncoRed-backedGray-headed               StellersJay
Dark-eyedJuncoSlate-colored                       SummerTanagerAdultMale
Dark-eyedJuncoWhite-winged                        SummerTanagerFemale
Double-crestedCormorantAdult                      SummerTanagerImmatureMale
Double-crestedCormorantImmature                   SurfScoterMale
DownyWoodpecker                                   Surfbird
DunlinBreeding                                    SwainsonsHawkDarkmorph
EaredGrebeBreeding                                SwainsonsHawkImmature
EaredGrebeNonbreedingjuvenile                     SwainsonsHawkLightmorph
EasternBluebird                                   TennesseeWarbler
EasternKingbird                                   TownsendsSolitaire
EasternMeadowlark                                 TreeSwallow
EasternPhoebe                                     TrumpeterSwan
EasternScreech-Owl                                TuftedTitmouse
EasternTowhee                                     Veery
EasternWood-Pewee                                 VermilionFlycatcherAdultmale
EurasianCollared-Dove                             VermilionFlycatcherFemaleimmature
EuropeanStarlingBreedingAdult                     VesperSparrow
EuropeanStarlingNonbreedingAdult                  WarblingVireo
EveningGrosbeakAdultMale                          WesternBluebird
EveningGrosbeakFemaleJuvenile                     WesternGrebe
FieldSparrow                                      WesternGullAdult
FishCrow                                          WesternGullImmature
FloridaScrub-Jay                                  WesternKingbird
ForstersTern                                      WesternMeadowlark
FoxSparrowRed                                     WesternSandpiper
FoxSparrowSooty                                   WesternScreech-Owl
FoxSparrowThick-billedSlate-colored               WesternTanagerBreedingMale
GadwallBreedingmale                               WesternTanagerFemaleNonbreedingMale
GadwallFemaleEclipsemale                          WesternWood-Pewee
GambelsQuailMale                                  Whimbrel
Glaucous-wingedGullAdult                          White-breastedNuthatch
Glaucous-wingedGullImmature                       White-crownedSparrowAdult
GlossyIbis                                        White-crownedSparrowImmature
Golden-crownedKinglet                             White-eyedVireo
Golden-crownedSparrowAdult                        White-facedIbis
GoldenEagleImmature                               White-throatedSparrowTan-stripedimmature
Gray-crownedRosy-Finch                            White-throatedSparrowWhite-striped
GrayCatbird                                       White-wingedCrossbillAdultMale
Great-tailedGrackle                               White-wingedCrossbillFemalejuvenile
GreatBlack-backedGullImmature                     White-wingedDove
GreatBlueHeron                                    White-wingedScoterFemalejuvenile
GreatCormorantAdult                               WhiteIbisAdult
GreatCormorantImmature                            WhiteIbisImmature
GreatCrestedFlycatcher                            Willet
GreatEgret                                        WilsonsPhalaropeBreeding
GreatHornedOwl                                    WilsonsPhalaropeNonbreedingjuvenile
GreaterScaupBreedingmale                          WilsonsSnipe
